clients,x,p50,p95,p99,p999,max,min,avg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,6041.0,1.078,2.074,2.142,2.209,2.266,0.204,1.22256,
16.0,12144.0,1.077,2.084,2.164,2.24,2.4,0.12,1.179702,
24.0,17122.0,1.125,2.137,2.219,2.353,2.629,0.186,1.269272,
32.0,23835.0,1.16,2.175,2.269,2.422,2.686,0.168,1.306166,
40.0,26180.0,1.209,2.17,2.368,29.046,38.549,0.172,1.401096,
48.0,32352.0,1.233,2.189,2.34,2.505,3.205,0.159,1.334354,
56.0,39309.0,1.298,2.202,2.41,3.804,7.091,0.203,1.357742,
64.0,46707.0,1.32,2.21,2.428,2.666,3.106,0.169,1.344747,
72.0,53347.0,1.37,2.263,2.582,6.257,7.973,0.218,1.404375,
80.0,59932.0,1.385,2.23,2.484,2.729,3.152,0.176,1.383655,
